Title,Genre,Duration,Year,Critics_Consensus,Consesus_Polarity,Director,Tomatometer_Score,Tomatometer_State,Audience_State,Audience_Score,Image
Daybreakers, Horror/Sci-fi, 1h 38m,2009,"Though it arrives during an unfortunate glut of vampire movies, Daybreakers offers enough dark sci-fi thrills -- and enough of a unique twist on the genre -- to satisfy filmgoers.",-0.029166666666666674,,69,fresh,spilled,49,https://resizing.flixster.com/6YifiLw2rrI5xIaQD5_senajXXM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p193983_p_v8_aj.jpg
Leap Year, Romance/Comedy, 1h 40m,2010,"Amy Adams is as appealing as ever, but her charms aren't enough to keep Leap Year from succumbing to an overabundance of clichés and an unfunny script.",0.25,,24,rotten,spilled,47,https://resizing.flixster.com/fGHURMJIDtOnfJp2toV5Bu0tvTc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7912663_p_v8_ad.jpg
Youth in Revolt, Romance/Comedy, 1h 30m,2009,"It may not entirely do its source material justice, but Miguel Arteta's Youth in Revolt is a fun, funny comic romp that lets Michael Cera stretch a little and introduces filmgoers to a major find in Portia Doubleday.",0.1125,,67,fresh,spilled,52,https://resizing.flixster.com/BuR31JkRPhPDFwwGiL3bAK7d8sE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p177771_p_v8_aa.jpg
The Spy Next Door, Kids & family/Comedy, 1h 32m,2010,"Lacking a script funny enough to cover up for Jackie Chan's fading physical gifts, The Spy Next Door fails on every conceivable level.",-0.024999999999999998,,12,rotten,spilled,40,https://resizing.flixster.com/unXGvzVaMS8gU7nrtmdaAmsDPDk=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3582379_p_v8_an.jpg
Extraordinary Measures, Drama, 1h 46m,2010,"Despite a timely topic and a pair of heavyweight leads, Extraordinary Measures never feels like much more than a made-for-TV tearjerker.",0.41666666666666663,,29,rotten,spilled,53,https://resizing.flixster.com/2EljUMc_JWBNfHUfFeEA1rc_ON8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7877674_p_v8_ak.jpg
The Tooth Fairy, Horror/Mystery & thriller, 1h 29m,2006,,0.0,,14,rotten,spilled,34,https://resizing.flixster.com/LQJYInivruHT93icosWQpVV0HiQ=/206x305/v2/https://resizing.flixster.com/Ddre3MCnxuQxH_da-ckHMka41Dg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA5ZGZiMGEwLTQ4NjgtNGFjZS1iNzcwLWQyZTIzYTFlYTkwZS53ZWJw
To Save a Life, Drama, 2h 0m,2010,,0.0,,39,rotten,upright,82,https://resizing.flixster.com/U9hl7OmhqGRt6cqlBcaRyGe9J6A=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3511589_p_v8_aa.jpg
Edge of Darkness, Mystery & thriller/Crime, 1h 57m,2010,"For better and for worse, Edge of Darkness offers vintage Mel Gibson, working within the familiar framework of a bloody revenge thriller.",-0.04500000000000002,,55,rotten,spilled,49,https://resizing.flixster.com/z-JrDbFScOZzNbmwxcjSo-1ccAQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3549550_p_v12_ak.jpg
When in Rome, Romance/Comedy, 1h 31m,2010,"A pair of young, attractive leads can't overcome When in Rome's reliance on unfunny gags and threadbare rom-com clichés.",0.45,,17,rotten,spilled,41,https://resizing.flixster.com/H26en0SDfyZNcr3YhDwz0Z3ssms=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p193554_p_v8_ae.jpg
Dear John, Romance/Drama, 1h 47m,2010,"Built from many of the same ingredients as other Nicholas Sparks tearjerkers, Dear John suffers from its cliched framework, as well as Lasse Hallstrom's curiously detached directing.",-0.06499999999999999,,29,rotten,spilled,55,https://resizing.flixster.com/3XBTzgQgflE7tlpserzs2xcwGaY=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7820906_p_v8_bc.jpg
